SL NO,Date,TRADING CODE,Close,YCP*
155,9/16/2019,ACI,270.6,269.1
156,9/15/2019,ACI,269.1,269.6
157,9/12/2019,ACI,269.6,272.7
158,9/11/2019,ACI,272.7,276.7
159,9/9/2019,ACI,276.7,280.4
160,9/8/2019,ACI,280.4,281.8
161,9/5/2019,ACI,281.8,277.3
162,9/4/2019,ACI,277.3,274.9
163,9/3/2019,ACI,274.9,274
164,9/2/2019,ACI,274,281.3
165,9/1/2019,ACI,281.3,286.1
166,8/29/2019,ACI,286.1,288.9
167,8/28/2019,ACI,288.9,296.5
168,8/27/2019,ACI,296.5,283
169,8/26/2019,ACI,283,292.4
170,8/25/2019,ACI,292.4,295.6
171,8/22/2019,ACI,295.6,291.8
172,8/21/2019,ACI,291.8,303.7
173,8/20/2019,ACI,303.7,318.4
174,8/19/2019,ACI,318.4,302.4
175,8/18/2019,ACI,302.4,278.1
176,8/8/2019,ACI,278.1,272.2
177,8/7/2019,ACI,272.2,259.6
178,8/6/2019,ACI,259.6,253.5
179,8/5/2019,ACI,253.5,251.6
180,8/4/2019,ACI,251.6,258
181,8/1/2019,ACI,258,255.4
182,7/31/2019,ACI,255.4,254
183,7/30/2019,ACI,254,254.6
184,7/29/2019,ACI,254.6,254.1
185,7/28/2019,ACI,254.1,250
186,7/25/2019,ACI,250,250.7
187,7/24/2019,ACI,250.7,251.6
188,7/23/2019,ACI,251.6,243.2
189,7/22/2019,ACI,243.2,243.4
190,7/21/2019,ACI,243.4,246.2
191,7/18/2019,ACI,246.2,246.1
192,7/17/2019,ACI,246.1,250
193,7/16/2019,ACI,250,248.4
194,7/15/2019,ACI,248.4,254.6
195,7/14/2019,ACI,254.6,254.1
196,7/11/2019,ACI,254.1,255.1
197,7/10/2019,ACI,255.1,256.9
198,7/9/2019,ACI,256.9,266.8
199,7/8/2019,ACI,266.8,269.6
200,7/7/2019,ACI,269.6,271.8
201,7/4/2019,ACI,271.8,273.9
202,7/3/2019,ACI,273.9,273
203,7/2/2019,ACI,273,274.7
204,6/30/2019,ACI,274.7,268.9
205,6/27/2019,ACI,268.9,269.8
206,6/26/2019,ACI,269.8,267.7
207,6/25/2019,ACI,267.7,265.6
208,6/24/2019,ACI,265.6,269.9
209,6/23/2019,ACI,269.9,272.2
210,6/20/2019,ACI,272.2,272.4
211,6/19/2019,ACI,272.4,274.7
212,6/18/2019,ACI,274.7,275.9
213,6/17/2019,ACI,275.9,265.5
